,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"X - Remix","Nicky Jam",1174128,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
57,"8 Out Of 10",Drake,1174000,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
58,"All Mine","Kanye West",1151919,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
59,"Everybody Dies In Their Nightmares",XXXTENTACION,1144227,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
60,Survival,Drake,1135897,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
61,"La Player (Bandolera)","Zion & Lennox",1132287,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
62,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",1116588,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
63,"If You're Over Me","Years & Years",1109810,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
64,"All Girls Are The Same","Juice WRLD",1097570,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
65,"Love Lies (with Normani)",Khalid,1094194,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
66,"Blue Tint",Drake,1083143,https://open.spotify.com/track/1Jrj3k5L36dPkU6KAclU7g
67,"Boo'd Up","Ella Mai",1079775,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
68,"Vaina Loca",Ozuna,1072307,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
69,"Dura - Remix","Daddy Yankee",1069322,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
70,"After Dark",Drake,1066357,https://open.spotify.com/track/4IvenHmD0spfFDOKphoUDp
71,"New Rules","Dua Lipa",1065439,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
72,"Look At Me!",XXXTENTACION,1064390,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
73,"Talk Up",Drake,1063098,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
74,Unica,Ozuna,1045081,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
75,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,1026530,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
