artist,song,index,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,0
A$AP Rocky,Praise The Lord (Da Shine),2,0.0609,0.85,205040.0,0.569,"['east coast hip hop', 'pop', 'pop rap', 'rap', 'trap music']",0.0816,5.0,0.1,-8.152,0.0,85.0,0.136,80.02,4.0,0.294,
AJR,Weak,3,0.127,0.672,202194.0,0.642,['modern rock'],0.0,5.0,0.137,-4.552,1.0,72.0,0.0461,123.984,4.0,0.656,
Addison Agen,Tennessee Rain - The Voice Performance,0,0.909,0.54,210986.0,0.232,['deep talent show'],0.0,9.0,0.105,-6.953,1.0,33.0,0.0328,138.176,4.0,0.259,
Adele,Water Under the Bridge,1,0.0189,0.596,240427.0,0.838,['pop'],1.54e-05,5.0,0.108,-6.52,0.0,79.0,0.0704,94.982,4.0,0.472,
Alessia Cara,Scars To Your Beautiful,0,0.0294,0.591,230227.0,0.741,"['dance pop', 'pop', 'post-teen pop', 'r&b']",0.0,0.0,0.11,-5.751,1.0,78.0,0.139,97.048,4.0,0.452,
Alessia Cara,Growing Pains,2,0.0822,0.353,193680.0,0.755,"['dance pop', 'pop', 'post-teen pop', 'r&b']",0.0,1.0,0.39,-6.276,0.0,78.0,0.733,191.153,4.0,0.437,
Alice Merton,No Roots,1,0.264,0.863,235813.0,0.657,[],0.00619,7.0,0.0713,-7.295,1.0,62.0,0.105,115.958,4.0,0.829,
Aminé,Caroline,2,0.17,0.941,209640.0,0.335,"['hip hop', 'indie r&b', 'pop', 'pop rap', 'rap']",0.0,5.0,0.262,-10.179,0.0,69.0,0.505,120.041,4.0,0.707,
Andy Grammer,Fresh Eyes,3,0.562,0.822,198001.0,0.544,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",2.4e-05,0.0,0.144,-6.797,1.0,67.0,0.0332,122.047,4.0,0.861,
Andy Williams,It's the Most Wonderful Time of the Year,0,0.766,0.24,151933.0,0.598,"['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'mellow gold', 'operatic pop']",0.0,7.0,0.117,-8.435,1.0,54.0,0.037,202.082,3.0,0.776,
