,artist,song,num_weeks,index_y,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,0
22,alessia cara,growing pains,1,2,0.0822,0.353,193680,0.755,"['dance pop', 'pop', 'post-teen pop', 'r&b']",0,1,0.39,-6.276,0,78,0.733,191.153,4,0.437,
23,alessia cara,scars to your beautiful,21,0,0.0294,0.591,230227,0.741,"['dance pop', 'pop', 'post-teen pop', 'r&b']",0,0,0.11,-5.751,1,78,0.139,97.048,4,0.452,
24,alice merton,no roots,3,1,0.264,0.863,235813,0.657,[],0.00619,7,0.0713,-7.295,1,62,0.105,115.958,4,0.829,
599,aminé,caroline,7,2,0.17,0.941,209640,0.335,"['hip hop', 'indie r&b', 'pop', 'pop rap', 'rap']",0,5,0.262,-10.179,0,69,0.505,120.041,4,0.707,
25,andy grammer,fresh eyes,1,3,0.562,0.822,198001,0.544,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",2.40E-05,0,0.144,-6.797,1,67,0.0332,122.047,4,0.861,
26,andy williams,it's the most wonderful time of the year,3,0,0.766,0.24,151933,0.598,"['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'mellow gold', 'operatic pop']",0,7,0.117,-8.435,1,54,0.037,202.082,3,0.776,
27,ariana grande,everyday,7,2,0.0176,0.64,194840,0.742,"['dance pop', 'pop', 'post-teen pop']",0,7,0.157,-4.461,0,88,0.0488,130.972,4,0.403,
600,ariana grande,the light is coming (feat. nicki minaj),1,1,0.0149,0.879,228400,0.544,"['dance pop', 'pop', 'post-teen pop']",1.14E-05,6,0.0291,-5.667,0,88,0.151,99.005,4,0.67,
29,ariana grande,side to side,6,0,0.0373,0.65,226160,0.728,"['dance pop', 'pop', 'post-teen pop']",0,6,0.328,-5.914,0,88,0.232,159.167,4,0.619,
28,ariana grande,no tears left to cry,11,3,0.0375,0.703,205947,0.696,"['dance pop', 'pop', 'post-teen pop']",5.65E-06,0,0.274,-5.482,1,88,0.0529,121.969,4,0.366,
601,avicii,wake me up,1,3,0.00346,0.518,247427,0.784,"['big room', 'edm']",0.00187,2,0.171,-5.659,1,83,0.0524,124.102,4,0.588,
602,ayo & teo,rolex,25,0,0.0837,0.804,238587,0.886,['dwn trap'],0,1,0.266,-2.512,1,63,0.04,144.946,4,0.789,
33,backstreet boys,don't go breaking my heart,2,1,0.0218,0.541,215724,0.703,"['boy band', 'dance pop', 'europop', 'pop']",0,0,0.0964,-5.573,1,74,0.102,94.858,4,0.238,
34,bad wolves,zombie,17,2,0.00756,0.448,254805,0.826,['alternative metal'],0,2,0.117,-3.244,0,64,0.0319,77.093,4,0.19,
35,bazzi,mine,24,3,0.0161,0.71,131064,0.789,"['pop', 'post-teen pop']",2.77E-06,4,0.451,-3.874,1,78,0.0722,142.929,4,0.717,
36,bebe rexha,i got you,7,0,0.0481,0.606,191800,0.889,"['dance pop', 'pop', 'post-teen pop']",3.56E-06,9,0.0933,-4.782,0,83,0.0519,97.988,4,0.337,
604,bebe rexha,meant to be (feat. florida georgia line),36,1,0.047,0.643,163870,0.783,"['dance pop', 'pop', 'post-teen pop']",0,10,0.083,-6.458,1,83,0.0856,154.084,4,0.579,
605,becky g,sin pijama,4,3,0.354,0.791,188560,0.745,"['dance pop', 'pop', 'post-teen pop']",2.93E-05,11,0.104,-3.695,0,83,0.0464,94.014,4,0.82,
37,becky g,mayores,17,2,0.141,0.743,202453,0.855,"['dance pop', 'pop', 'post-teen pop']",0.0045,5,0.099,-3.976,0,83,0.0436,96.989,4,0.871,
606,ben platt,found/tonight,1,1,0.801,0.349,179242,0.307,['hollywood'],0,10,0.0968,-7.197,1,63,0.0402,80.964,4,0.447,
38,bhad bhabie,hi bich,1,1,0.156,0.924,104528,0.387,"['pop', 'trap queen']",0.000331,8,0.0973,-7.738,1,68,0.115,120.014,4,0.0624,
607,bhad bhabie,gucci flip flops (feat. lil yachty),3,0,0.0347,0.822,150000,0.622,"['pop', 'trap queen']",0.0181,8,0.114,-7.33,1,68,0.314,160.066,4,0.18,
39,bhad bhabie,these heaux,3,2,0.215,0.852,140008,0.577,"['pop', 'trap queen']",0,6,0.138,-6.347,0,68,0.16,119.986,4,0.448,
47,big sean,sacrifices,1,0,0.284,0.77,287320,0.565,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0,10,0.257,-7.641,0,82,0.272,141.999,4,0.394,
42,big sean,jump out the window,1,2,0.147,0.745,213693,0.714,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0,1,0.132,-6.729,1,82,0.0768,136.972,4,0.554,
43,big sean,light,1,3,0.831,0.578,210507,0.608,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0,7,0.108,-5.997,0,82,0.0507,84.932,4,0.199,
44,big sean,moves,14,0,0.0541,0.789,142907,0.53,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0,2,0.164,-6.2,1,82,0.293,75.515,4,0.367,
45,big sean,no favors,3,1,0.608,0.58,325840,0.768,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1.05E-06,11,0.342,-5.482,1,82,0.386,124.719,5,0.351,
46,big sean,owe me,1,2,0.388,0.611,271693,0.611,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0,8,0.113,-8.751,1,82,0.143,142.187,4,0.38,
40,big sean,bounce back,16,3,0.105,0.77,222360,0.567,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0,2,0.125,-5.698,1,82,0.175,81.477,4,0.26,
41,big sean,halfway off the balcony,1,1,0.36,0.529,230960,0.809,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0,8,0.242,-6.554,1,82,0.269,125.285,4,0.136,
608,big sean,pull up n wreck (& metro boomin),2,3,0.00707,0.487,227533,0.435,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.000998,10,0.178,-7.788,1,82,0.339,172.951,4,0.0849,
609,big sean,go legend (& metro boomin),1,0,0.016,0.653,268947,0.577,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0,1,0.203,-9.018,0,82,0.116,150.004,4,0.196,
610,billie eilish,lovely (with khalid),5,1,0.934,0.351,200186,0.296,"['electropop', 'pop']",0,4,0.095,-10.109,0,82,0.0333,115.284,4,0.12,
48,billy currington,do i make you wanna,19,2,0.122,0.549,234306,0.751,"['contemporary country', 'country', 'country road', 'modern country rock']",0,9,0.208,-5.423,1,67,0.0299,89.953,4,0.493,
49,blac youngsta,booty,5,3,0.000831,0.938,160038,0.549,"['dwn trap', 'rap', 'southern hip hop', 'trap music']",0.000243,1,0.082,-8.368,1,65,0.098,144.005,4,0.412,
50,blackbear,do re mi,25,0,0.00419,0.742,212027,0.599,['pop'],1.02E-05,8,0.126,-6.256,1,77,0.0465,110.977,3,0.154,
30,blackpink,ddu-du ddu-du,1,1,0.0323,0.671,209355,0.859,['k-pop'],0,4,0.267,-3.922,0,77,0.0833,139.931,4,0.389,
53,blake shelton,i lived it,18,3,0.476,0.557,219600,0.571,"['contemporary country', 'country', 'country road', 'modern country rock']",0.00114,10,0.101,-8.106,1,71,0.0281,80.981,4,0.392,
54,blake shelton,i'll name the dogs,19,0,0.163,0.47,183200,0.852,"['contemporary country', 'country', 'country road', 'modern country rock']",2.04E-06,4,0.281,-5.874,1,71,0.0933,168.063,4,0.773,
51,blake shelton,a guy with a girl,6,1,0.0158,0.552,189467,0.893,"['contemporary country', 'country', 'country road', 'modern country rock']",0,0,0.105,-4.593,1,71,0.0383,163.948,4,0.777,
52,blake shelton,every time i hear that song,11,2,0.0558,0.523,214800,0.725,"['contemporary country', 'country', 'country road', 'modern country rock']",6.96E-06,2,0.0937,-5.448,1,71,0.0339,155.855,4,0.528,
611,blocboy jb,look alive (feat. drake),21,1,0.00104,0.922,181263,0.581,"['pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",5.86E-05,10,0.105,-7.495,1,78,0.27,140.022,4,0.595,
55,brad paisley,today,7,3,0.539,0.347,229338,0.632,"['contemporary country', 'country', 'country road', 'modern country rock']",0.00226,2,0.121,-6.998,1,66,0.0381,74.257,3,0.285,
56,brantley gilbert,the weekend,16,0,0.0549,0.53,187760,0.809,"['contemporary country', 'country', 'country road', 'modern country rock']",0,6,0.0741,-4.745,0,67,0.0388,82.022,4,0.731,
612,brenda lee,rockin' around the christmas tree - single version,3,1,0.703,0.691,125827,0.402,"['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'nashville sound', 'rockabilly']",0,8,0.463,-12.149,1,46,0.0599,139.752,4,0.844,
57,brett eldredge,the long way,12,2,0.265,0.488,208720,0.637,"['contemporary country', 'country', 'country road', 'modern country rock']",0,10,0.106,-7.63,1,66,0.0401,88.865,4,0.23,
60,brett young,mercy,9,2,0.848,0.637,217120,0.375,['contemporary country'],0,4,0.1,-7.713,1,68,0.0292,71.942,4,0.198,
59,brett young,like i loved you,19,1,0.179,0.579,207187,0.573,['contemporary country'],0,1,0.083,-5.991,1,68,0.0292,76.02,4,0.637,
58,brett young,in case you didn't know,28,0,0.357,0.599,224853,0.542,['contemporary country'],0,10,0.104,-7.274,1,68,0.0304,148.003,4,0.383,
61,brothers osborne,it ain't my fault,16,3,0.00155,0.723,216800,0.824,"['contemporary country', 'country', 'country road', 'modern country rock']",0.167,11,0.333,-5.911,0,66,0.0331,123.011,4,0.76,
613,bruno mars,finesse (remix) [feat. cardi b],23,1,0.0185,0.704,217289,0.859,"['dance pop', 'pop', 'post-teen pop']",0,5,0.0215,-4.877,0,84,0.0996,105.115,4,0.926,
63,bruno mars,that's what i like,49,2,0.013,0.853,206693,0.56,"['dance pop', 'pop', 'post-teen pop']",0,1,0.0944,-4.961,1,84,0.0406,134.066,4,0.86,
62,bruno mars,24k magic,25,0,0.034,0.818,225983,0.803,"['dance pop', 'pop', 'post-teen pop']",0,1,0.153,-4.282,1,84,0.0797,106.97,4,0.632,
64,bruno mars,versace on the floor,12,3,0.196,0.578,261240,0.574,"['dance pop', 'pop', 'post-teen pop']",0,2,0.083,-6.209,1,84,0.0454,174.152,4,0.301,
65,bryson tiller,don't get too high,1,0,0.0148,0.88,209040,0.495,"['indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']",1.47E-06,1,0.121,-3.476,1,75,0.0681,124.055,4,0.47,
66,bryson tiller,no longer friends,1,1,0.205,0.652,134747,0.663,"['indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']",0,11,0.105,-7.78,1,75,0.326,114.133,4,0.377,
67,bryson tiller,run me dry,1,2,0.393,0.646,169267,0.756,"['indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']",3.23E-05,9,0.202,-9.017,0,75,0.487,193.881,4,0.596,
68,bryson tiller,self-made,1,3,0.00304,0.932,167853,0.702,"['indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']",1.87E-05,7,0.267,-3.459,0,75,0.0903,143.001,4,0.53,
69,bryson tiller,somethin tells me,1,0,0.0356,0.735,194267,0.588,"['indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']",0,5,0.107,-7.197,0,75,0.226,90.002,4,0.434,
31,bts,dna,4,2,0.022,0.598,223123,0.775,['k-pop'],0,1,0.0677,-4.035,0,86,0.0545,129.819,4,0.687,
32,bts,fake love,6,3,0.00267,0.557,242334,0.719,['k-pop'],0,2,0.306,-4.515,0,86,0.0372,77.501,4,0.344,
